id,total,term,breitbart,infowars,mother_jones,cnn,abc_news,usatoday,drudge_report,yahoo,nbc_news,fox_news
1,728.0,debate,65.0,16.0,5.0,4.0,8.0,11.0,5.0,14.0,15.0,13.0
2,642.0,trump,51.0,8.0,6.0,9.0,8.0,14.0,6.0,16.0,7.0,17.0
3,308.0,democratic,9.0,2.0,1.0,6.0,9.0,13.0,5.0,2.0,13.0,8.0
4,241.0,joe,19.0,5.0,1.0,3.0,3.0,5.0,1.0,8.0,3.0,1.0
5,236.0,biden,25.0,6.0,0.0,0.0,3.0,2.0,3.0,3.0,5.0,1.0
6,213.0,kamala,25.0,3.0,2.0,0.0,1.0,3.0,1.0,3.0,3.0,8.0
7,205.0,harris,21.0,0.0,2.0,1.0,3.0,4.0,1.0,3.0,4.0,10.0
8,158.0,putin,4.0,4.0,1.0,3.0,6.0,4.0,0.0,8.0,1.0,3.0
9,155.0,g20,6.0,2.0,0.0,5.0,5.0,3.0,0.0,10.0,0.0,0.0
10,149.0,night,5.0,2.0,5.0,2.0,5.0,1.0,2.0,1.0,6.0,4.0
11,143.0,supreme,3.0,0.0,8.0,3.0,0.0,5.0,1.0,6.0,2.0,3.0
11,143.0,democrats,16.0,3.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,3.0
13,139.0,sanders,16.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,3.0,4.0
14,130.0,democrat,22.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
15,127.0,court,3.0,0.0,5.0,4.0,0.0,5.0,2.0,6.0,0.0,2.0
16,117.0,police,3.0,0.0,0.0,7.0,2.0,2.0,0.0,5.0,4.0,2.0
17,115.0,climate,10.0,2.0,2.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0
18,112.0,question,8.0,3.0,4.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0
20,105.0,fact,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
20,105.0,people,13.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0
20,105.0,2020,6.0,2.0,2.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0
22,102.0,migrants,9.0,5.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0
23,99.0,health,9.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,2.0,4.0
24,98.0,dem,7.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
25,97.0,border,14.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0
26,91.0,meddle,1.0,2.0,0.0,1.0,3.0,4.0,0.0,6.0,1.0,1.0
27,85.0,trumps,5.0,6.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0
28,84.0,report,11.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0
30,80.0,lgbtq,2.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,3.0,0.0
30,80.0,migrant,10.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
30,80.0,year,1.0,2.0,0.0,4.0,1.0,6.0,0.0,1.0,1.0,0.0
32,78.0,white,7.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0
33,77.0,pay,9.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0
33,77.0,china,8.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0
35,76.0,orourke,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
37,75.0,plan,9.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
37,75.0,census,6.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0
37,75.0,president,2.0,2.0,0.0,3.0,1.0,4.0,0.0,1.0,2.0,0.0
37,75.0,beto,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
40,73.0,twitter,2.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0
42,71.0,talks,3.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0
42,71.0,gerrymandering,2.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0
42,71.0,tells,2.0,0.0,0.0,3.0,1.0,3.0,0.0,4.0,1.0,1.0
45,70.0,race,2.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,5.0
45,70.0,change,7.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
45,70.0,citizenship,7.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0
45,70.0,election,1.0,2.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0
48,67.0,day,1.0,0.0,0.0,2.0,3.0,6.0,0.0,1.0,0.0,2.0
50,66.0,south,2.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,2.0,1.0
50,66.0,death,2.0,2.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0
50,66.0,immigration,3.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0
52,65.0,check,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,65.0,state,6.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0
56,61.0,record,1.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
56,61.0,bernie,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
56,61.0,spanish,8.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
56,61.0,thursday,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,6.0
56,61.0,warren,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
60,60.0,america,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
60,60.0,mother,2.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
60,60.0,game,2.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0
60,60.0,insurance,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
63,59.0,killed,2.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,4.0
63,59.0,shot,0.0,0.0,0.0,3.0,1.0,6.0,0.0,1.0,0.0,4.0
